head,winner,loser,raw_generation
cooker,deer,birdbath,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cooker: deer or birdbath? Respond only with the item name.
model
Birdbath"
windsock,knee,sleeping bag,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to windsock: knee or sleeping bag? Respond only with the item name.
model
Sleeping bag"
blouse,hand,microwave,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to blouse: hand or microwave? Respond only with the item name.
model
Microwave"
golf cart,milk,snowplow,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to golf cart: milk or snowplow? Respond only with the item name.
model
Golf cart"
lipstick,nail polish,mongoose,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lipstick: nail polish or mongoose? Respond only with the item name.
model
Nail polish"
scoreboard,poinsettia,seesaw,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to scoreboard: poinsettia or seesaw? Respond only with the item name.
model
Poinsettia"
lifesaver,lingerie,cufflink,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lifesaver: lingerie or cufflink? Respond only with the item name.
model
Lingerie"
apple tree,fern,hard disk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to apple tree: fern or hard disk? Respond only with the item name.
model
Fern"
stove,water heater,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stove: water heater or meerkat? Respond only with the item name.
model
Water heater"
cracker,stuffing,wheelchair,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cracker: stuffing or wheelchair? Respond only with the item name.
model
Stuffing"
christmas card,knee,notepad,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to christmas card: knee or notepad? Respond only with the item name.
model
Notepad"
satellite,landmine,gumball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to satellite: landmine or gumball? Respond only with the item name.
model
Satellite"
firewood,cockroach,hay,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to firewood: cockroach or hay? Respond only with the item name.
model
Hay"
noodle,harp,pie,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to noodle: harp or pie? Respond only with the item name.
model
Noodle"
skeleton,cilantro,ashtray,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to skeleton: cilantro or ashtray? Respond only with the item name.
model
Cilantro"
spatula,knife,poodle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spatula: knife or poodle? Respond only with the item name.
model
Knife"
missile,humvee,toe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to missile: humvee or toe? Respond only with the item name.
model
Missile"
fire,anchor,burner,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to fire: anchor or burner? Respond only with the item name.
model
Anchor"
meerkat,thread,rattlesnake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to meerkat: thread or rattlesnake? Respond only with the item name.
model
Rattlesnake"
solar panel,peach,videocassette,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to solar panel: peach or videocassette? Respond only with the item name.
model
Peach"
coat rack,squid,cork,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coat rack: squid or cork? Respond only with the item name.
model
Coat rack"
mold,crepe,chipmunk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mold: crepe or chipmunk? Respond only with the item name.
model
Chipmunk"
blinder,earwig,chandelier,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to blinder: earwig or chandelier? Respond only with the item name.
model
Earwig"
spider web,fungus,toga,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spider web: fungus or toga? Respond only with the item name.
model
Fungus"
baton,staple gun,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to baton: staple gun or meerkat? Respond only with the item name.
model
Staple gun"
train car,air pump,tuba,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to train car: air pump or tuba? Respond only with the item name.
model
Train car"
ping-pong table,workbench,artichoke,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ping-pong table: workbench or artichoke? Respond only with the item name.
model
Workbench"
poppy,shelf,sunflower,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to poppy: shelf or sunflower? Respond only with the item name.
model
Shelf"
watch,tooth,moth,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to watch: tooth or moth? Respond only with the item name.
model
Tooth"
tube top,jacket,milk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tube top: jacket or milk? Respond only with the item name.
model
Jacket"
curb,net,first-aid kit,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to curb: net or first-aid kit? Respond only with the item name.
model
First-aid kit"
raincoat,chisel,chest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to raincoat: chisel or chest? Respond only with the item name.
model
Raincoat"
tube top,cigarette,brush,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tube top: cigarette or brush? Respond only with the item name.
model
Brush"
teapot,hamburger,poinsettia,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to teapot: hamburger or poinsettia? Respond only with the item name.
model
Teapot"
giraffe,gorilla,frisbee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to giraffe: gorilla or frisbee? Respond only with the item name.
model
Gorilla"
sweet potato,apple,bungee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sweet potato: apple or bungee? Respond only with the item name.
model
Apple"
handle,cockroach,unicycle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to handle: cockroach or unicycle? Respond only with the item name.
model
Unicycle"
buoy,jetski,headband,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to buoy: jetski or headband? Respond only with the item name.
model
Jet Ski"
coat rack,gas mask,goose,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coat rack: gas mask or goose? Respond only with the item name.
model
Gas mask"
tamale,cooker,turntable,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tamale: cooker or turntable? Respond only with the item name.
model
Cooker"
globe,hourglass,cockroach,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to globe: hourglass or cockroach? Respond only with the item name.
model
Cockroach"
crucifix,knee,hook,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crucifix: knee or hook? Respond only with the item name.
model
Hook"
desk,stool,cocoon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to desk: stool or cocoon? Respond only with the item name.
model
Stool"
contact lens,chin,blanket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to contact lens: chin or blanket? Respond only with the item name.
model
Blanket"
blackberry,quiche,detonator,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to blackberry: quiche or detonator? Respond only with the item name.
model
Quiche"
whipped cream,espresso,filter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to whipped cream: espresso or filter? Respond only with the item name.
model
Espresso"
deer,dog,tugboat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to deer: dog or tugboat? Respond only with the item name.
model
Dog"
modem,latch,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to modem: latch or knee? Respond only with the item name.
model
L latch"
cookie sheet,hamburger,moth,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cookie sheet: hamburger or moth? Respond only with the item name.
model
Hamburger"
doorknocker,cement mixer,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to doorknocker: cement mixer or knee? Respond only with the item name.
model
Cement mixer"
jukebox,whale,record player,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jukebox: whale or record player? Respond only with the item name.
model
Record player"
squid,music box,sundae,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to squid: music box or sundae? Respond only with the item name.
model
Sundae"
snail,zebra,blanket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to snail: zebra or blanket? Respond only with the item name.
model
Blanket"
ping-pong table,meerkat,thermometer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ping-pong table: meerkat or thermometer? Respond only with the item name.
model
Meerkat"
apple tree,robe,bark,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to apple tree: robe or bark? Respond only with the item name.
model
Bark"
can,lens,cardinal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to can: lens or cardinal? Respond only with the item name.
model
Lens"
album,blanket,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to album: blanket or boar? Respond only with the item name.
model
Blanket"
platypus,paper plate,canoe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to platypus: paper plate or canoe? Respond only with the item name.
model
Paper plate"
steamroller,unicycle,dolphin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to steamroller: unicycle or dolphin? Respond only with the item name.
model
Unicycle"
spatula,eyeliner,bowling ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spatula: eyeliner or bowling ball? Respond only with the item name.
model
Eyeliner"
fast food,cashew,diamond,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to fast food: cashew or diamond? Respond only with the item name.
model
Cashew"
container,cabbage,firetruck,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to container: cabbage or firetruck? Respond only with the item name.
model
Cabbage"
golf club,bird,torpedo,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to golf club: bird or torpedo? Respond only with the item name.
model
Bird"
honeycomb,sweet potato,dress,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to honeycomb: sweet potato or dress? Respond only with the item name.
model
Sweet potato"
match,shawl,pipe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to match: shawl or pipe? Respond only with the item name.
model
Shawl"
gearshift,cardinal,trigger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gearshift: cardinal or trigger? Respond only with the item name.
model
Trigger"
baseball bat,needle,sushi,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to baseball bat: needle or sushi? Respond only with the item name.
model
Needle"
uniform,tea,sarcophagus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to uniform: tea or sarcophagus? Respond only with the item name.
model
Tea"
nail polish,saltshaker,jetski,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nail polish: saltshaker or jetski? Respond only with the item name.
model
Saltshaker"
chalk,quad,pennant,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chalk: quad or pennant? Respond only with the item name.
model
Pennant"
marker,wood,backgammon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to marker: wood or backgammon? Respond only with the item name.
model
Backgammon"
grill,bumper,toe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to grill: bumper or toe? Respond only with the item name.
model
Bumper"
computer,modem,flipper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to computer: modem or flipper? Respond only with the item name.
model
Modem"
towel,mantle,spider,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to towel: mantle or spider? Respond only with the item name.
model
Mantle"
clasp,canister,lion,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to clasp: canister or lion? Respond only with the item name.
model
Canister"
snack,breadbox,shell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to snack: breadbox or shell? Respond only with the item name.
model
Breadbox"
polaroid,hard disk,cilantro,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to polaroid: hard disk or cilantro? Respond only with the item name.
model
Hard disk"
diaper,potholder,egg,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to diaper: potholder or egg? Respond only with the item name.
model
Diaper"
ship,fishing pole,croissant,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ship: fishing pole or croissant? Respond only with the item name.
model
Fishing pole"
mulberry,camper,popsicle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mulberry: camper or popsicle? Respond only with the item name.
model
popsicle"
marmalade,plum,kangaroo,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to marmalade: plum or kangaroo? Respond only with the item name.
model
Marmalade"
wick,firecracker,calf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wick: firecracker or calf? Respond only with the item name.
model
Firecracker"
pump,tapestry,paperclip,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pump: tapestry or paperclip? Respond only with the item name.
model
Paperclip"
mat,bed,bowling ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mat: bed or bowling ball? Respond only with the item name.
model
bed"
nail file,sifter,pancake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nail file: sifter or pancake? Respond only with the item name.
model
Nail file"
carousel,fire,dice,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to carousel: fire or dice? Respond only with the item name.
model
Dice"
wallet,polar bear,clothespin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wallet: polar bear or clothespin? Respond only with the item name.
model
Clothespin"
compass,papaya,streetlight,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to compass: papaya or streetlight? Respond only with the item name.
model
Papaya"
chin,banana,jeep,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chin: banana or jeep? Respond only with the item name.
model
banana"
wrench,spider,windshield wiper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wrench: spider or windshield wiper? Respond only with the item name.
model
Windshield wiper"
candy,match,spareribs,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to candy: match or spareribs? Respond only with the item name.
model
Match"
combination lock,grinder,chipmunk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to combination lock: grinder or chipmunk? Respond only with the item name.
model
Grinder"
lightbulb,film,piglet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lightbulb: film or piglet? Respond only with the item name.
model
Film"
toothpaste,camper,bologna,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to toothpaste: camper or bologna? Respond only with the item name.
model
Bologna"
puppy,praying mantis,shell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to puppy: praying mantis or shell? Respond only with the item name.
model
Puppy"
cow,slug,corkboard,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cow: slug or corkboard? Respond only with the item name.
model
Corkboard"
granite,powder,violin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to granite: powder or violin? Respond only with the item name.
model
Violin"
hourglass,cigarette butt,deer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hourglass: cigarette butt or deer? Respond only with the item name.
model
Cigarette butt"
ukulele,gramophone,sorbet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ukulele: gramophone or sorbet? Respond only with the item name.
model
Gramophone"
windshield,gumball,workbench,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to windshield: gumball or workbench? Respond only with the item name.
model
Gumball"
inhaler,horse,swab,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to inhaler: horse or swab? Respond only with the item name.
model
Inhaler"
dress,meerkat,jewelry,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to dress: meerkat or jewelry? Respond only with the item name.
model
Jewelry"
cleaver,sheath,hot-air balloon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cleaver: sheath or hot-air balloon? Respond only with the item name.
model
Hot-air balloon"
spout,cookie cutter,cockroach,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spout: cookie cutter or cockroach? Respond only with the item name.
model
Cockroach"
skin,jeep,sandpaper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to skin: jeep or sandpaper? Respond only with the item name.
model
Sandpaper"
shears,bassinet,baton,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shears: bassinet or baton? Respond only with the item name.
model
Bassinet"
shears,bun,pocketknife,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shears: bun or pocketknife? Respond only with the item name.
model
Pocketknife"
chessboard,potholder,shark,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chessboard: potholder or shark? Respond only with the item name.
model
Chessboard"
clothesline,umbrella,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to clothesline: umbrella or meerkat? Respond only with the item name.
model
Umbrella"
odometer,knee,nutcracker,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to odometer: knee or nutcracker? Respond only with the item name.
model
Nutcracker"
soccer ball,balance beam,chandelier,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to soccer ball: balance beam or chandelier? Respond only with the item name.
model
Chandelier"
bookmark,grate,eraser,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bookmark: grate or eraser? Respond only with the item name.
model
Eraser"
french fries,butter,hose,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to french fries: butter or hose? Respond only with the item name.
model
French fries"
counter,vulture,tostada,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to counter: vulture or tostada? Respond only with the item name.
model
Tostada"
turf,bowling ball,tractor,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to turf: bowling ball or tractor? Respond only with the item name.
model
Bowling ball"
doormat,knee,sarcophagus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to doormat: knee or sarcophagus? Respond only with the item name.
model
Sarcophagus"
ice-cream cone,otter,punch,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ice-cream cone: otter or punch? Respond only with the item name.
model
Ice-cream cone"
biscuit,hedgehog,plastic film,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to biscuit: hedgehog or plastic film? Respond only with the item name.
model
Plastic film"
dishrag,suitcase,raccoon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to dishrag: suitcase or raccoon? Respond only with the item name.
model
Suitcase"
mud,shutter,chime,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mud: shutter or chime? Respond only with the item name.
model
Shutter"
cheeseburger,xylophone,ravioli,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cheeseburger: xylophone or ravioli? Respond only with the item name.
model
Ravioli"
undershirt,leggings,diamond,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to undershirt: leggings or diamond? Respond only with the item name.
model
Leggings"
elephant,raccoon,lid,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to elephant: raccoon or lid? Respond only with the item name.
model
Raccoon"
book,cauliflower,highlighter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to book: cauliflower or highlighter? Respond only with the item name.
model
Highlighter"
blower,swan,padlock,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to blower: swan or padlock? Respond only with the item name.
model
Padlock"
grape,petal,bassoon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to grape: petal or bassoon? Respond only with the item name.
model
Petal"
grate,gate,sorbet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to grate: gate or sorbet? Respond only with the item name.
model
Gate"
splinter,block,camper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to splinter: block or camper? Respond only with the item name.
model
Camper"
aloe,scuba,flower,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to aloe: scuba or flower? Respond only with the item name.
model
Aloe"
orangutan,snake,gasket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to orangutan: snake or gasket? Respond only with the item name.
model
Snake"
sundial,corsage,headrest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sundial: corsage or headrest? Respond only with the item name.
model
Corsage"
cot,backgammon,corsage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cot: backgammon or corsage? Respond only with the item name.
model
Backgammon"
jet,hummus,roof rack,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jet: hummus or roof rack? Respond only with the item name.
model
Hummus"
tinsel,sombrero,torso,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tinsel: sombrero or torso? Respond only with the item name.
model
Sombrero"
applesauce,honey,jet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to applesauce: honey or jet? Respond only with the item name.
model
Honey"
cuckoo clock,watch,pom-pom,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cuckoo clock: watch or pom-pom? Respond only with the item name.
model
Watch"
flour,sidecar,scallop,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to flour: sidecar or scallop? Respond only with the item name.
model
Scallop"
memory stick,gumball,binder,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to memory stick: gumball or binder? Respond only with the item name.
model
Binder"
camel,pelican,aluminum foil,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to camel: pelican or aluminum foil? Respond only with the item name.
model
Aluminum foil"
pothole,thread,parking meter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pothole: thread or parking meter? Respond only with the item name.
model
Parking meter"
cobra,mussel,carriage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cobra: mussel or carriage? Respond only with the item name.
model
Mussel"
crow,donkey,washing machine,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crow: donkey or washing machine? Respond only with the item name.
model
Donkey"
chips,hot-air balloon,sugar cube,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chips: hot-air balloon or sugar cube? Respond only with the item name.
model
Hot-air balloon"
rug,corkboard,deodorant,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rug: corkboard or deodorant? Respond only with the item name.
model
Corkboard"
bike,cufflink,quesadilla,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bike: cufflink or quesadilla? Respond only with the item name.
model
Bike"
alpaca,panda,cigarette,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to alpaca: panda or cigarette? Respond only with the item name.
model
Cigarette"
tee,playpen,crank,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tee: playpen or crank? Respond only with the item name.
model
Tee"
boomerang,frame,quesadilla,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to boomerang: frame or quesadilla? Respond only with the item name.
model
Frame"
nest,snake,machine gun,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nest: snake or machine gun? Respond only with the item name.
model
Machine gun"
chaps,tapestry,beet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chaps: tapestry or beet? Respond only with the item name.
model
Beet"
tablet,grass,breathalyzer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tablet: grass or breathalyzer? Respond only with the item name.
model
Tablet"
hovercraft,ram,bike,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hovercraft: ram or bike? Respond only with the item name.
model
Bike"
pallet,saw,turkey,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pallet: saw or turkey? Respond only with the item name.
model
Saw"
lingerie,hammer,leg,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lingerie: hammer or leg? Respond only with the item name.
model
Lingerie"
chips,rack,beehive,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chips: rack or beehive? Respond only with the item name.
model
Rack"
gopher,gong,lamb,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gopher: gong or lamb? Respond only with the item name.
model
Gong"
abacus,guinea pig,window,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to abacus: guinea pig or window? Respond only with the item name.
model
Guinea pig"
jewel,undershirt,diamond,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jewel: undershirt or diamond? Respond only with the item name.
model
Jewel"
wick,hummingbird,firecracker,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wick: hummingbird or firecracker? Respond only with the item name.
model
Hummingbird"
pita,pepper,rabbit,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pita: pepper or rabbit? Respond only with the item name.
model
Pepper"
cord,tack,toe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cord: tack or toe? Respond only with the item name.
model
Tack"
chin,hot-air balloon,finger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chin: hot-air balloon or finger? Respond only with the item name.
model
Chin"
pedal,cassette,aloe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pedal: cassette or aloe? Respond only with the item name.
model
Cassette"
birthday cake,cable,ginger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to birthday cake: cable or ginger? Respond only with the item name.
model
Cake"
keyhole,knee,gel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to keyhole: knee or gel? Respond only with the item name.
model
Knee"
squirt gun,beet,kneepad,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to squirt gun: beet or kneepad? Respond only with the item name.
model
Kneepad"
sausage,bacon,airplane,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sausage: bacon or airplane? Respond only with the item name.
model
Bacon"
fishhook,nail,blouse,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to fishhook: nail or blouse? Respond only with the item name.
model
Nail"
cornhusk,mousetrap,bowling ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cornhusk: mousetrap or bowling ball? Respond only with the item name.
model
Mousetrap"
kimono,artichoke,bowler hat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to kimono: artichoke or bowler hat? Respond only with the item name.
model
Bowler hat"
silicone,hawk,ice pack,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to silicone: hawk or ice pack? Respond only with the item name.
model
Ice pack"
punch,watermelon,vulture,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to punch: watermelon or vulture? Respond only with the item name.
model
Watermelon"
wig,turban,pickax,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wig: turban or pickax? Respond only with the item name.
model
Pickax"
ice,crumb,crayon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ice: crumb or crayon? Respond only with the item name.
model
Crayon"
tea,watermelon,bulletproof vest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tea: watermelon or bulletproof vest? Respond only with the item name.
model
Watermelon"
cloud,bonsai,hairdryer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cloud: bonsai or hairdryer? Respond only with the item name.
model
Hairdryer"
car door,vulture,payphone,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to car door: vulture or payphone? Respond only with the item name.
model
Vulture"
trophy,watering can,gazelle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to trophy: watering can or gazelle? Respond only with the item name.
model
Can of water"
