item,embedding
carousel,0.4768757224082947 0.1816105842590332 0.42926743626594543 0.07714005559682846 0.25358423590660095 0.03884297236800194 0.3337611258029938 0.6257842183113098 0.2038109302520752 0.0428587980568409 1.259150743484497 1.3706319332122803 0.32820558547973633 0.5860186219215393 0.029072877019643784 0.013290081173181534 0.1853388249874115 0.009388339705765247 0.02098904363811016 0.004363044165074825 0.11757360398769379 0.007809799630194902 0.1428690105676651 0.055692099034786224 0.008004172705113888 0.010247429832816124 0.052758555859327316 0.11533277481794357 0.2063542753458023 0.01096596010029316 0.08855234831571579 0.037149827927351 0.011400457471609116 0.005025958642363548 0.0016230610199272633 0.019452786073088646 0.04048069193959236 0.004592209123075008 0.1077231764793396 0.04163094609975815 0.014630274847149849 0.4896429777145386 0.16466940939426422 0.030236084014177322 0.6092529296875 0.027807140722870827 0.011401980184018612 0.031721021980047226 0.017693383619189262
carriage,1.168244481086731 0.04699161648750305 0.1569926142692566 0.49516576528549194 0.09001900255680084 0.20595866441726685 0.22514931857585907 1.9416663646697998 0.7173179388046265 0.10514430701732635 0.07707399874925613 0.9680545926094055 0.018824106082320213 0.02075040526688099 0.0658232718706131 0.02412518486380577 0.02931925095617771 0.03580857813358307 0.007215860765427351 0.007526877801865339 0.022070100530982018 0.022205889225006104 0.5430164933204651 0.0069448561407625675 0.04080301523208618 0.013006627559661865 0.14168639481067657 0.10074532777070999 0.03793405741453171 0.040273167192935944 0.06465328484773636 0.017917634919285774 0.017509883269667625 0.05031755939126015 0.014783157035708427 0.13908204436302185 0.11727958172559738 0.016584396362304688 0.009318772703409195 0.01540747843682766 0.0594104528427124 0.252176433801651 1.3997589349746704 0.005761397071182728 0.027436062693595886 0.06838209927082062 0.015545414760708809 0.0022291610948741436 0.03368782624602318
carrot,0.041472237557172775 1.907381296157837 0.45798397064208984 0.0348118431866169 0.05576483532786369 0.9803098440170288 0.0787498950958252 0.018055424094200134 0.20047803223133087 0.04294796288013458 0.0849129855632782 0.05331085994839668 0.04947388544678688 0.07195787876844406 0.012207331135869026 0.11447839438915253 0.2898920178413391 0.06365516781806946 0.05585188791155815 0.4638938903808594 0.03227722644805908 0.004562679678201675 0.8662893772125244 0.027041537687182426 0.049857404083013535 0.0803484246134758 0.02701622061431408 0.08622223883867264 0.03315235301852226 0.07344911247491837 0.035999663174152374 0.0053500821813941 0.0580146387219429 0.03626793250441551 0.00299491616897285 0.0285758338868618 0.040296729654073715 0.0027532195672392845 1.341514229774475 0.004248395562171936 0.02953321859240532 0.05194839835166931 0.05317022278904915 0.022515159100294113 0.05185795575380325 0.07706170529127121 0.02140902169048786 0.06820663809776306 0.06532031297683716
cart,0.9449127912521362 0.10055539011955261 0.40400928258895874 0.12350577861070633 0.027308890596032143 0.6116206645965576 0.5851472020149231 1.257655382156372 0.7724950313568115 0.025964511558413506 0.35887610912323 0.17083865404129028 0.024873988702893257 0.17531029880046844 0.06048201769590378 0.28127989172935486 0.03597695380449295 0.013871458359062672 0.14807839691638947 0.051913294941186905 0.016095565631985664 0.03279363363981247 0.07588636130094528 0.028112558647990227 0.012212269008159637 0.02391807921230793 0.34379661083221436 0.2302938997745514 0.015132654458284378 0.02760961465537548 0.04151023179292679 0.01779995486140251 0.016658274456858635 0.03633897379040718 0.01486733928322792 0.05754418298602104 0.02364669367671013 0.042351994663476944 0.18786035478115082 0.016608448699116707 0.03614010661840439 0.46226444840431213 0.6577092409133911 0.024075789377093315 0.007926153019070625 0.014003051444888115 0.04358968883752823 0.02642296813428402 0.035424038767814636
cash machine,1.1371431350708008 0.010127563960850239 0.0005998762790113688 0.04011036828160286 0.7613312005996704 0.020334525033831596 0.022678475826978683 0.6792922019958496 0.016650106757879257 0.031335681676864624 0.03450801223516464 0.04228159040212631 1.805158019065857 0.060046762228012085 0.05201801657676697 0.016460418701171875 0.5630108118057251 0.2476077675819397 0.031377412378787994 0.012344337068498135 0.01947484351694584 0.01144078467041254 0.09833382815122604 0.04240262135863304 0.012869589030742645 0.03480539098381996 0.007333948276937008 0.005598616320639849 0.0053658452816307545 0.024181200191378593 0.01845802552998066 0.020752469077706337 0.008931555785238743 0.034708645194768906 0.018871651962399483 0.04723208397626877 0.004488242324441671 0.049262091517448425 0.030203258618712425 0.02508728764951229 0.020678412169218063 0.017404234036803246 0.00818584393709898 0.16554345190525055 0.013672580011188984 0.013804880902171135 0.1708022654056549 0.006954865530133247 0.061915505677461624
cash register,0.9536082148551941 0.338072270154953 0.002901365514844656 0.31125184893608093 0.1991216093301773 0.17852312326431274 0.016110636293888092 0.25058606266975403 0.06775520741939545 0.034056130796670914 0.31444478034973145 0.5737882256507874 1.638782262802124 0.08593948930501938 0.06309549510478973 0.02343643270432949 0.25441351532936096 0.8313269019126892 0.05251293629407883 0.0023593998048454523 0.015987861901521683 0.0036587028298527002 0.07847285270690918 0.051044825464487076 0.07696562260389328 0.06829790025949478 0.1015935093164444 0.10331621021032333 0.006337943021208048 0.08221510052680969 0.01808052510023117 0.004242073744535446 0.00459886621683836 0.014603008516132832 0.007392626255750656 0.025957006961107254 0.03825100138783455 0.004444682504981756 0.013243155553936958 0.010983954183757305 0.003127994714304805 0.0015177297173067927 0.0903395414352417 0.7905862927436829 0.04597875475883484 0.05362820625305176 0.0014436959754675627 0.015656692907214165 0.02361721359193325
cashew,0.011514266952872276 2.0632612705230713 0.5370282530784607 0.016870200634002686 0.05485802888870239 0.6317533850669861 0.006201497279107571 0.02673392742872238 0.37136131525039673 0.07118525356054306 0.08725437521934509 0.01704692468047142 0.023171106353402138 0.048311468213796616 0.033161360770463943 0.028950657695531845 0.9285937547683716 0.03345189988613129 0.03499094024300575 0.03374505788087845 0.05731278657913208 0.011035546660423279 0.024187719449400902 0.1568179577589035 0.0041829864494502544 0.008181743323802948 0.012136705219745636 0.027034513652324677 0.07606294006109238 0.06984545290470123 0.009894895367324352 0.00393565883859992 0.00397008191794157 0.006956938654184341 0.042601488530635834 0.04411948844790459 0.03758053854107857 0.015707047656178474 0.009666594676673412 0.0096775833517313 0.03366874158382416 0.012425395660102367 0.049001507461071014 0.02328704297542572 0.08726334571838379 0.030548792332410812 0.056935522705316544 0.01358028408139944 0.005101812072098255
casserole,0.013427652418613434 2.457512378692627 0.15364085137844086 0.04300795868039131 0.2675536870956421 0.012994489632546902 0.02626531757414341 0.03479047492146492 0.005132452119141817 0.03296807408332825 0.0531754307448864 0.06803341954946518 0.049197860062122345 0.01848418265581131 0.024288158863782883 0.0042792861349880695 0.004313581623136997 0.03482775017619133 0.014799850061535835 0.009664642624557018 0.01004700269550085 0.028376685455441475 0.005662868730723858 0.027577664703130722 0.017241306602954865 0.02166058123111725 0.017503386363387108 0.062078241258859634 0.028123989701271057 0.016134165227413177 0.018046261742711067 0.010343148373067379 0.03887422755360603 0.038517262786626816 0.00890264566987753 0.009109050035476685 0.019026566296815872 0.028461147099733353 0.0238641370087862 0.03028234839439392 0.030922383069992065 0.00620062043890357 0.017770273610949516 0.03768264129757881 0.0019769317004829645 0.009955641813576221 0.010151419788599014 0.01318768598139286 0.014766969718039036
cassette,0.8750718235969543 0.09643817692995071 0.0008002371760085225 0.03638613596558571 0.12885673344135284 0.022822270169854164 0.024585643783211708 0.24031014740467072 0.41453686356544495 0.012544450350105762 0.9625930786132812 0.04748105630278587 1.4796472787857056 0.2110445350408554 0.08644350618124008 0.00980850588530302 0.4155369997024536 0.685703456401825 0.04446970671415329 0.008900322951376438 0.013707743026316166 0.032024409621953964 0.05495286360383034 0.03479709103703499 0.007759069558233023 0.020961450412869453 0.0035245807375758886 0.19297781586647034 0.026704514399170876 0.05753333866596222 0.025813858956098557 0.07216036319732666 0.013551678508520126 0.03551371023058891 0.011357514187693596 0.006708371918648481 0.007384155876934528 0.04060937464237213 0.046843092888593674 0.046581119298934937 0.01782313920557499 0.04359745979309082 0.03112037293612957 0.015879543498158455 0.032664697617292404 0.046905603259801865 0.013270131312310696 0.05102281644940376 0.06791773438453674
cat,0.01817593351006508 0.13090313971042633 2.2886879444122314 0.22824901342391968 0.057918790727853775 0.008264266885817051 0.004647533409297466 0.048719439655542374 0.2370624542236328 0.45970410108566284 0.030459586530923843 0.058541398495435715 0.03193371742963791 0.02236373908817768 0.052793342620134354 0.01150843221694231 0.01596902497112751 0.018252123147249222 0.007834012620151043 0.006447694730013609 0.00833254586905241 0.009980819188058376 0.016335301101207733 0.0045067500323057175 0.00449855113402009 0.059426240622997284 0.021704429760575294 0.005546192638576031 0.0016648061573505402 0.003249271074309945 0.019074300304055214 0.0165064949542284 0.011108401231467724 0.009100285358726978 0.003101884853094816 0.014768613502383232 0.019479751586914062 0.013794617727398872 0.016151679679751396 0.014761719852685928 0.08194506913423538 0.025843530893325806 0.06102416664361954 0.02936394140124321 0.03341550752520561 0.013652289286255836 0.044918086379766464 0.054360561072826385 0.009386468678712845
catapult,1.1003165245056152 0.013601129874587059 0.09924467653036118 0.03339562565088272 0.07101791352033615 0.13028614223003387 1.038195252418518 0.4318147301673889 1.0981826782226562 0.04384535551071167 0.06438644230365753 0.4219430983066559 0.2972606420516968 0.3614260256290436 0.06967344880104065 0.06252848356962204 0.11776851117610931 0.11316146701574326 0.007243085652589798 0.5242821574211121 0.04618360474705696 0.019671157002449036 0.05352907255291939 0.051139432936906815 0.0470239520072937 0.014814593829214573 1.1456413269042969 0.06377337127923965 0.20953170955181122 0.013666818849742413 0.11227475851774216 0.021899910643696785 0.02483762428164482 0.06790996342897415 0.13862568140029907 0.11054123193025589 0.009079779498279095 0.014459347352385521 0.10502099245786667 0.03609100729227066 0.013633321039378643 0.9450640678405762 0.5672743320465088 0.019719233736395836 0.019325735047459602 0.017746681347489357 0.013265116140246391 0.09663503617048264 0.010339616797864437
caterpillar,0.031820256263017654 0.22248443961143494 1.4687459468841553 0.029648300260305405 0.05039926618337631 1.0506458282470703 0.005568696651607752 0.00859742984175682 0.01755726896226406 0.0911630243062973 0.26504889130592346 0.08874133974313736 0.0007586641004309058 0.0027371279429644346 0.03781509771943092 0.11243700981140137 0.03226035460829735 0.024594807997345924 0.02684205397963524 0.08133336156606674 0.08755183964967728 0.13049446046352386 0.024872900918126106 0.09221138060092926 0.009339874610304832 0.08400794118642807 0.007164665497839451 0.1722038835287094 0.028631582856178284 0.021641645580530167 0.04147224873304367 0.021272730082273483 0.0179806686937809 0.3348243236541748 1.6919559240341187 0.9050954580307007 0.024151654914021492 0.026052381843328476 0.01626042276620865 0.0030280339997261763 0.004463133867830038 0.015377703122794628 0.03471669182181358 0.02171352505683899 0.027965955436229706 0.0018255877075716853 0.022236879914999008 0.04353676363825798 0.05984753742814064
catfish,0.015841227024793625 0.3352605104446411 1.6558749675750732 0.013270538300275803 0.006749352905899286 0.3135643005371094 0.004688973072916269 0.010774324648082256 0.02341364696621895 0.043061286211013794 0.029746245592832565 0.01092993188649416 0.01114902924746275 0.03588692098855972 0.06935185194015503 0.02428172342479229 0.04379640147089958 0.004761580843478441 0.01617317646741867 0.023090647533535957 1.6161190271377563 0.03433602303266525 0.05529842898249626 0.030048534274101257 0.019906967878341675 0.02199649065732956 0.001829058863222599 0.0137789910659194 0.03048221953213215 0.037802278995513916 0.0332542359828949 0.03573716804385185 0.005448740441352129 0.02393190562725067 1.269120454788208 0.08014088869094849 0.024313434958457947 0.05165054276585579 0.011952373199164867 0.014744994230568409 0.22498135268688202 0.011041398160159588 0.014910683035850525 0.02220657281577587 0.006545745301991701 0.0038512693718075752 0.015410292893648148 0.0143945487216115 0.018324850127100945
cauliflower,0.0067123910412192345 1.9070523977279663 0.5590571761131287 0.0003209361748304218 0.05449896678328514 1.2352010011672974 0.02725796028971672 0.01945439539849758 0.04125367850065231 0.16048286855220795 0.021417519077658653 0.0076986453495919704 0.024528924375772476 0.033615920692682266 0.09957201033830643 0.09819724410772324 0.0037502218037843704 0.01132481824606657 0.018290191888809204 0.050970520824193954 0.060289185494184494 0.403412401676178 0.024598684161901474 0.11221887171268463 0.08417832851409912 0.016687508672475815 0.018819553777575493 0.016063710674643517 0.04536191746592522 0.6623972654342651 0.011304867453873158 0.004987685941159725 0.17965300381183624 0.005845026113092899 0.02041417732834816 0.005818556994199753 0.3591659963130951 0.005640270654112101 0.00899947714060545 0.010884599760174751 0.054409146308898926 0.049955449998378754 0.02374938875436783 0.006968469824641943 0.034122686833143234 0.025455912575125694 0.031076589599251747 0.1389497071504593 0.024411356076598167
caviar,0.24719253182411194 1.6636956930160522 0.527055561542511 0.046327557414770126 0.03613632544875145 0.16787558794021606 0.008747980929911137 0.005678866058588028 0.021434713155031204 0.04890143871307373 0.17470376193523407 0.35912537574768066 0.03236013278365135 0.04319159314036369 0.8036343455314636 0.07729120552539825 0.03853871300816536 0.024833371862769127 0.48208415508270264 0.0733816847205162 0.31670087575912476 0.7504041194915771 0.11264488846063614 0.10443872958421707 0.06017237529158592 0.8085286021232605 0.07104552537202835 0.15076366066932678 0.020076338201761246 0.01375021692365408 0.04559291526675224 0.012235159985721111 0.030259639024734497 0.0376615971326828 0.28466638922691345 0.00848341267555952 0.04437687247991562 0.04710026830434799 0.0536176897585392 0.034407809376716614 0.030301479622721672 0.05387163534760475 0.059891536831855774 0.007860025390982628 0.04906431958079338 0.02788860723376274 0.19930031895637512 0.035535093396902084 0.034097716212272644
cd player,1.1906195878982544 0.1779107302427292 0.03450917452573776 0.14897216856479645 0.17432023584842682 0.028988802805542946 0.038418158888816833 0.16355085372924805 0.00457798270508647 0.1530086249113083 0.044912438839673996 0.37329384684562683 1.8553797006607056 0.15692013502120972 1.2367217540740967 0.24579297006130219 0.06672148406505585 0.1320028007030487 0.03596360608935356 0.005233381409198046 0.12928250432014465 0.04969888553023338 0.07165520638227463 0.03593024984002113 0.02617380954325199 0.23061512410640717 0.028794942423701286 0.42797693610191345 0.02723955735564232 0.030328037217259407 0.05336327105760574 0.048850759863853455 0.022974498569965363 0.23871466517448425 0.05399821326136589 0.01753668114542961 0.050984933972358704 0.024846967309713364 0.0495748296380043 0.005824461113661528 0.10509990900754929 0.013208472169935703 0.07004892826080322 0.008280056528747082 0.20751763880252838 0.027262501418590546 0.05285247787833214 0.06954295188188553 0.024310503154993057
celery,0.030472828075289726 1.8270658254623413 0.203644260764122 0.020641030743718147 0.12657809257507324 1.6351386308670044 0.014306750148534775 0.008131798356771469 0.010552526451647282 0.033314675092697144 0.04399837180972099 0.011632291600108147 0.02108621783554554 0.0097160954028368 0.00885252095758915 0.17237360775470734 0.17365843057632446 0.01945573277771473 0.17959903180599213 0.6373960971832275 0.04424549266695976 0.02838117443025112 0.008564976043999195 0.018351837992668152 0.04201711341738701 0.021509993821382523 0.018713435158133507 0.16862249374389648 0.010974336415529251 0.014414561912417412 0.03482062369585037 0.01563812606036663 0.0031518619507551193 0.03733358904719353 0.01943322643637657 0.06013573706150055 0.05001189559698105 0.022416481748223305 0.02118976041674614 0.013204094022512436 0.03756915405392647 0.005870755296200514 0.013209396041929722 0.011552668176591396 0.005676654167473316 0.007991941645741463 0.0022686300799250603 0.010335090570151806 0.007165455259382725
cello,0.8597413301467896 0.03522929549217224 0.016153516247868538 0.30445989966392517 0.25569188594818115 0.055823225528001785 0.04290271922945976 0.12252327799797058 1.0566847324371338 0.12067809700965881 0.34182843565940857 0.9597678184509277 0.3572516441345215 0.4854934513568878 0.08325723558664322 0.16667307913303375 0.029663315042853355 0.010781682096421719 0.07038072496652603 0.23936401307582855 0.023224730044603348 0.006307651288807392 0.11476507782936096 0.13355769217014313 0.1021648496389389 0.49643951654434204 0.01510027889162302 1.639306664466858 0.11266276240348816 0.4036984443664551 0.053823042660951614 0.00019249966135248542 0.0017975352238863707 0.01123374979943037 0.023996133357286453 0.060423873364925385 0.023016665130853653 0.04599109664559364 0.045149851590394974 0.09117879718542099 0.02763373777270317 0.05128661170601845 0.35048097372055054 0.02712123468518257 0.002982181031256914 0.009066534228622913 0.0816347599029541 0.23408354818820953 0.0020710264798253775
cellphone,1.0548847913742065 0.10720495879650116 0.02816726639866829 0.22566838562488556 0.12900231778621674 0.013943255878984928 0.010903356596827507 0.2272382527589798 0.009446020238101482 0.18706682324409485 0.06547679752111435 0.015274569392204285 1.6698758602142334 0.060889847576618195 0.00830832403153181 0.013473155908286572 0.38522177934646606 0.7182836532592773 0.31908053159713745 0.06395839899778366 0.022469568997621536 0.0019275140948593616 0.016031289473176003 0.025795968249440193 0.01905853860080242 0.41203224658966064 0.029579829424619675 0.30324316024780273 0.055011920630931854 0.016209987923502922 0.011169721372425556 0.0529458113014698 0.008596045896410942 0.015306406654417515 0.009916870854794979 0.06431113183498383 0.004534593317657709 0.048651013523340225 0.020940236747264862 0.059917908161878586 0.014922771602869034 0.03781277686357498 0.0449984110891819 0.03227287530899048 0.01939893141388893 0.017203127965331078 0.038651611655950546 0.06545784324407578 0.0415758453309536
cement mixer,1.1820148229599 0.13792648911476135 0.09693554788827896 0.0018544617341831326 0.012190449051558971 0.0031376834958791733 0.6758158206939697 0.7628511190414429 0.8270841240882874 0.027255240827798843 0.003885858226567507 0.029145842418074608 0.21244288980960846 0.009985403157770634 0.5938199758529663 0.04597015306353569 0.007089660968631506 0.008362219668924809 0.4532996118068695 0.005606897175312042 0.01415177620947361 0.3771079182624817 0.03408908098936081 0.006498182192444801 0.07373936474323273 0.038111552596092224 0.09138995409011841 0.10272102057933807 0.014003222808241844 0.006693655624985695 0.010470946319401264 0.016525672748684883 0.046481043100357056 0.009870286099612713 0.017864972352981567 0.014430606737732887 0.09212549775838852 0.013515450991690159 1.3811349868774414 0.12125511467456818 0.1782137006521225 0.003796875011175871 0.2727082669734955 0.06759937107563019 0.021526331081986427 0.01061906199902296 0.04735412821173668 0.009290448389947414 0.021532166749238968
centerpiece,0.8130994439125061 0.49657145142555237 0.0010856525041162968 0.040669996291399 0.7054857015609741 0.12287278473377228 0.181722030043602 0.18462654948234558 0.30094364285469055 0.01612698659300804 0.0820656567811966 2.09513258934021 0.021301094442605972 0.03369872644543648 0.031198978424072266 0.03272527456283569 0.6125923991203308 0.021602097898721695 0.34698620438575745 0.2275172472000122 0.18919537961483002 0.009649727493524551 0.040948621928691864 0.5363951921463013 0.06398968398571014 0.009652563370764256 0.04801945760846138 0.29259973764419556 0.04323647543787956 0.016011565923690796 0.0014880860690027475 0.026120755821466446 0.0051056016236543655 0.02668662741780281 0.0023087752051651478 0.11311716586351395 0.0007617621449753642 0.0650612935423851 0.09859947860240936 0.08108461648225784 0.014975904487073421 0.0487743616104126 0.004442594945430756 0.013032859191298485 0.025463048368692398 0.04884660243988037 0.015977267175912857 0.01786792278289795 0.0065742433071136475
centrifuge,1.6226170063018799 0.16952398419380188 0.005717240273952484 0.030260367318987846 0.30740582942962646 0.030138244852423668 0.06565231084823608 0.2399110645055771 0.02379515767097473 0.043623436242341995 0.23408377170562744 0.05327145382761955 1.3686327934265137 0.018734844401478767 0.8163589239120483 0.023668300360441208 0.031907424330711365 0.04205396771430969 0.15309585630893707 0.04904888570308685 0.11720384657382965 0.04121207818388939 0.02954975515604019 0.01952747069299221 0.03543068841099739 0.01759997196495533 0.015604807063937187 0.0897427573800087 0.042741067707538605 0.00877203606069088 0.048747945576906204 0.18934990465641022 0.010094400495290756 0.019717959687113762 0.015360988676548004 0.029057428240776062 0.007683194242417812 0.2506920397281647 0.244884192943573 0.4029786288738251 0.019765391945838928 0.029646387323737144 0.21511180698871613 0.06463136523962021 0.002191736362874508 0.01304558478295803 0.01777585595846176 0.02492070011794567 0.022523993626236916
cereal,0.00026109267491847277 2.278045177459717 0.24783073365688324 0.11379630863666534 0.15238361060619354 0.13411004841327667 0.06573043018579483 0.0034599434584379196 0.29471030831336975 0.32658636569976807 0.0719737559556961 0.019861122593283653 0.018692295998334885 0.07808519154787064 0.27151742577552795 0.011212164536118507 0.017407692968845367 0.009902055375277996 0.293417751789093 0.014927016571164131 0.03286905214190483 0.3695380389690399 0.015176007524132729 0.03888402134180069 0.1672549694776535 0.3388402462005615 0.03348703682422638 9.595293522579595e-05 0.03944629803299904 0.010727968066930771 0.02971830777823925 0.03544693440198898 0.38864338397979736 0.08065169304609299 0.008639770559966564 0.05355430766940117 0.07000681757926941 0.028941575437784195 0.018827959895133972 0.07821232825517654 0.05503515526652336 0.012294499203562737 0.014126543886959553 0.08514588326215744 0.042085424065589905 0.1736694723367691 0.04467501491308212 0.04411647468805313 0.017626525834202766
chain,1.8907315731048584 0.02340119518339634 0.048485592007637024 0.051022086292505264 0.0031616096384823322 0.027267595753073692 0.3652762770652771 0.28415006399154663 0.021103831008076668 0.10557449609041214 0.016612865030765533 0.11525566130876541 0.006574997212737799 0.03358352556824684 0.0634167343378067 0.07696141302585602 0.687794029712677 0.00785470474511385 0.010408146306872368 0.2711179256439209 0.1433306783437729 0.37896728515625 0.012398842722177505 0.019505172967910767 0.03437915816903114 0.035697486251592636 0.5543293356895447 0.13849982619285583 0.049161769449710846 0.04727073386311531 0.05397540703415871 0.010512422770261765 0.024897439405322075 0.041002120822668076 0.05650044232606888 1.291901707649231 0.28531283140182495 0.03529307618737221 0.03116554021835327 0.026282966136932373 0.06950059533119202 0.036056045442819595 0.024485303089022636 0.01283378154039383 0.02075042948126793 0.0354323573410511 0.08186789602041245 0.015285496599972248 0.017763836309313774
chainsaw,1.3604093790054321 0.01515109185129404 0.017792340368032455 0.0009527511429041624 0.02120753936469555 0.04808150231838226 0.848080575466156 0.7052412033081055 0.11714500933885574 0.015857655555009842 0.10913735628128052 0.009609490633010864 0.5912765860557556 0.008229954168200493 0.011857118457555771 0.991352379322052 0.027375418692827225 0.029737252742052078 0.012599986046552658 0.01472271978855133 0.011273766867816448 0.014171833172440529 0.2277938574552536 0.016526274383068085 0.017329351976513863 0.034897882491350174 0.7048578262329102 0.05384010076522827 0.013574060052633286 0.0033733954187482595 0.03784667328000069 0.012491523288190365 0.009909027256071568 0.016650741919875145 0.01091975811868906 0.014627783559262753 0.010497380048036575 0.01658397540450096 0.3920202851295471 0.25711679458618164 0.01623355597257614 0.022363342344760895 0.01502994354814291 0.023226702585816383 0.016264932230114937 0.012596105225384235 0.03015504777431488 0.01837988570332527 0.01642373763024807
chair,1.0039458274841309 0.05351214483380318 0.051961880177259445 0.28330010175704956 1.4278520345687866 0.07168633490800858 0.3240814805030823 0.05918189510703087 0.6783047318458557 0.12708626687526703 0.04464060813188553 0.21619516611099243 0.008447960019111633 0.26549240946769714 0.041029006242752075 0.1046818420290947 0.03652770072221756 0.15506502985954285 0.24787203967571259 0.28384289145469666 0.048187777400016785 0.054278042167425156 0.0415717177093029 0.08646617829799652 0.04497532173991203 0.4586371183395386 0.025461707264184952 0.2301327884197235 0.020870443433523178 0.014536276459693909 0.15858937799930573 0.07845430076122284 0.012501604855060577 0.1686537116765976 0.05565584450960159 0.014382468536496162 0.05538681894540787 0.03351898118853569 0.010964229702949524 0.030501319095492363 0.11894462257623672 0.16304345428943634 1.0912518501281738 0.004399933386594057 0.05313010886311531 0.022340979427099228 0.03262555971741676 0.020751331001520157 0.06419699639081955
chalice,1.5252593755722046 0.3420408368110657 0.002566782757639885 0.08649762719869614 0.23883958160877228 0.19801479578018188 0.03941381350159645 0.025224868208169937 0.07208029925823212 0.04597928375005722 0.0673566460609436 1.5692389011383057 0.005080719478428364 0.01050084363669157 0.19251558184623718 0.025747401639819145 0.00801126193255186 0.016806038096547127 1.1468884944915771 0.220005601644516 0.031861063092947006 0.2753468453884125 0.02776607871055603 0.5090036392211914 0.019680097699165344 0.046972841024398804 0.06997549533843994 0.33482199907302856 0.06106462702155113 0.01679104007780552 0.05494075268507004 0.03112490475177765 0.039322298020124435 0.04265211522579193 0.036920882761478424 0.01659218594431877 0.034067437052726746 0.05356472358107567 0.01681586727499962 0.008162455633282661 0.045089833438396454 0.04703553393483162 0.023996666073799133 0.02084403485059738 0.1861475557088852 0.03723530098795891 0.03240521252155304 0.05522039532661438 0.03924122080206871
chalk,0.4488751292228699 0.3387327194213867 0.0394650436937809 0.008124144747853279 0.40161368250846863 0.30428194999694824 0.07267826795578003 0.03414619714021683 0.2699124813079834 0.006984170991927385 1.2736247777938843 0.01937108114361763 0.07226433604955673 0.5628256797790527 0.09390084445476532 0.25012674927711487 1.317618489265442 0.573212742805481 0.020856764167547226 0.264482706785202 0.05654190480709076 1.1118015050888062 0.09774145483970642 0.007815617136657238 0.057004865258932114 0.022582734003663063 0.053017619997262955 0.01383910607546568 0.009074806235730648 0.04422474652528763 0.006506701931357384 0.1075042113661766 0.1635417491197586 0.20232746005058289 0.014171105809509754 0.011963894590735435 0.03126820549368858 0.29749369621276855 0.04841519892215729 0.27959996461868286 0.02266555465757847 0.0272201020270586 0.05051426216959953 0.03248448669910431 0.4210277795791626 0.007827355526387691 0.040420107543468475 0.020579969510436058 0.48653724789619446
chalkboard,0.6903523802757263 0.001977266278117895 0.01635088212788105 0.05025000870227814 0.5346232652664185 0.007742775604128838 0.28920912742614746 0.09782741218805313 0.0854189321398735 0.05212309584021568 0.054211631417274475 0.17401032149791718 0.49081629514694214 0.18094173073768616 0.21807457506656647 0.008367137983441353 0.005715963430702686 1.5779335498809814 0.12357991933822632 0.0023568784818053246 0.025110607966780663 0.19893896579742432 0.011310210451483727 0.045221008360385895 0.04105497524142265 0.016671663150191307 0.01874566450715065 0.176682248711586 0.07188710570335388 0.00983926746994257 0.011295381002128124 0.5700998306274414 0.045250531286001205 0.003496754914522171 0.018714385107159615 0.07030537724494934 0.04058731347322464 0.03793235868215561 0.01520761102437973 0.007334016729146242 0.03794107958674431 0.06704451888799667 0.2829429805278778 0.043316058814525604 0.07085014134645462 0.06515063345432281 0.019987065345048904 0.035077229142189026 0.021091090515255928
champagne,0.26940611004829407 1.411215901374817 0.03460201621055603 0.1775815784931183 0.3510136604309082 0.15013404190540314 0.04274575784802437 0.18558280169963837 0.06236058101058006 0.21733982861042023 0.1290893256664276 0.6286348104476929 0.13508771359920502 0.0020160709973424673 0.1503182351589203 0.006901788059622049 0.009672846645116806 0.026949113234877586 1.9252002239227295 0.1665053367614746 0.3514547348022461 0.03857066109776497 0.022431112825870514 0.4564884305000305 0.039949238300323486 0.33517712354660034 0.015892915427684784 0.10723566263914108 0.0864253044128418 0.05271906033158302 0.06471581012010574 0.008082273416221142 0.032111331820487976 0.039623454213142395 0.007934045977890491 0.042760539799928665 0.024649687111377716 0.7166621685028076 0.028665615245699883 0.011472463607788086 0.05812474712729454 0.046048350632190704 0.04727732017636299 0.04760512337088585 0.0006629432318732142 0.05031915754079819 0.05985299497842789 0.011085358448326588 0.01968863047659397
chandelier,0.7321975827217102 0.23543791472911835 0.01024504192173481 0.03473028913140297 0.7801249623298645 0.11978190392255783 0.013061380945146084 0.019125921651721 0.18912938237190247 0.019712038338184357 0.06986656039953232 1.8914042711257935 0.09490356594324112 0.030971163883805275 0.20112735033035278 0.02052753046154976 0.2554214596748352 0.0018700140062719584 0.2051396667957306 0.030162708833813667 0.11702567338943481 0.027016907930374146 0.06029858812689781 0.52051842212677 0.03934977576136589 0.3367288410663605 0.06691032648086548 0.03802107274532318 0.07757364958524704 0.021169908344745636 0.7392710447311401 0.04338507726788521 0.05556949973106384 0.4255208373069763 0.02996903657913208 0.02526378259062767 0.006056989077478647 0.5661571621894836 0.07059795409440994 0.20871874690055847 0.027160227298736572 1.4684275388717651 0.005994606297463179 0.0015598911559209228 0.005044902674853802 0.03888050094246864 0.030342502519488335 0.03129616752266884 0.0007283251034095883
